frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len
"1782628885.593875592","192.168.1.3","192.168.1.16","1","74"
"1782628886.760005111","192.168.1.3","192.168.1.16","1","74"
"1782628887.681004449","192.168.1.3","192.168.1.16","1","74"
"1782628888.347940353","192.168.1.3","192.168.1.16","1","74"
"1782628912.212312216","192.168.1.3","192.168.1.16","1","74"
"1782628912.945179110","192.168.1.3","192.168.1.16","1","74"
"1782628913.720242843","192.168.1.3","192.168.1.16","1","74"
"1782628914.751452321","192.168.1.3","192.168.1.16","1","74"
"1782628915.777365183","192.168.1.3","192.168.1.16","1","74"
"1782628916.779903338","192.168.1.3","192.168.1.16","1","74"
"1782628917.726229165","192.168.1.3","192.168.1.16","1","74"
"1782628918.354625271","192.168.1.3","192.168.1.16","1","74"
"1782628918.994975797","192.168.1.3","192.168.1.16","1","74"
"1782628919.571244257","192.168.1.3","192.168.1.16","1","74"
"1782628920.214471726","192.168.1.3","192.168.1.16","1","74"
"1782628920.839214145","192.168.1.3","192.168.1.16","1","74"
"1782628921.479005661","192.168.1.3","192.168.1.16","1","74"
"1782628922.244037688","192.168.1.3","192.168.1.16","1","74"
"1782628923.248675204","192.168.1.3","192.168.1.16","1","74"
"1782628924.256000437","192.168.1.3","192.168.1.16","1","74"
"1782628925.122541619","192.168.1.3","192.168.1.16","1","74"
"1782628925.812927697","192.168.1.3","192.168.1.16","1","74"
"1782628926.668104214","192.168.1.3","192.168.1.16","1","74"
"1782628927.599793772","192.168.1.3","192.168.1.16","1","74"
"1782628928.375870990","192.168.1.3","192.168.1.16","1","74"
"1782628929.250645824","192.168.1.3","192.168.1.16","1","74"
"1782628930.039128863","192.168.1.3","192.168.1.16","1","74"
"1782628930.838811938","192.168.1.3","192.168.1.16","1","74"
"1782628931.737406730","192.168.1.3","192.168.1.16","1","74"
"1782628932.753900560","192.168.1.3","192.168.1.16","1","74"
"1782628933.626654854","192.168.1.3","192.168.1.16","1","74"
"1782628934.450599505","192.168.1.3","192.168.1.16","1","74"
"1782628935.197382384","192.168.1.3","192.168.1.16","1","74"
"1782628935.962460529","192.168.1.3","192.168.1.16","1","74"
"1782628936.553238922","192.168.1.3","192.168.1.16","1","74"
"1782628937.419580817","192.168.1.3","192.168.1.16","1","74"
"1782628938.367181466","192.168.1.3","192.168.1.16","1","74"
"1782628939.187404510","192.168.1.3","192.168.1.16","1","74"
"1782628939.937444738","192.168.1.3","192.168.1.16","1","74"
"1782628940.946131439","192.168.1.3","192.168.1.16","1","74"
"1782628941.843810015","192.168.1.3","192.168.1.16","1","74"
"1782628942.860947265","192.168.1.3","192.168.1.16","1","74"
"1782628943.740527346","192.168.1.3","192.168.1.16","1","74"
"1782628944.674538471","192.168.1.3","192.168.1.16","1","74"
"1782628945.546115491","192.168.1.3","192.168.1.16","1","74"
